systemNanoTime (in ns);utcMilliTime (in ms);latitude (in deg);longitude (in deg);altitude (in m);speed (in m/s);bearing (in deg);azimuth (in deg);pitch (in deg);roll (in deg);gyrx (in rad/s);gyry (in rad/s);gyrz (in rad/s);accx (in m/s2);accy (in m/s2);accz (in m/s2)
150275176627360;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.859621524810791;2.9985058307647705;9.36461067199707
150275207823558;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.750449001789093;2.8704898357391357;9.4088773727417
150275213264912;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.09933903813362122;0.1560714691877365;0.16729579865932465;-0.5267201066017151;2.766402006149292;9.474679946899414
150275217218871;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;323.3285217285156;-20.927345275878906;-0.00831439159810543;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.5267201066017151;2.766402006149292;9.474679946899414
150275221229444;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.5267201066017151;2.766402006149292;9.474679946899414
150275378678141;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.4058825373649597;2.643171787261963;9.733105659484863
150275385820225;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.3652045428752899;2.546262502670288;10.01575756072998
150275390528662;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.2826521694660187;2.529512643814087;9.982257843017578
150275394667933;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;-0.08255238085985184;2.597707986831665;9.727123260498047
150275399134443;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.031106693670153618;2.6168506145477295;9.557232856750488
150275403398454;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.05623133108019829;2.62522554397583;9.601499557495117
150275406571631;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.1423729509115219;2.6551358699798584;9.59073257446289
150275410052621;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.24406790733337402;2.722134828567505;9.529715538024902
150275413911579;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.2153540402650833;2.7400810718536377;9.625428199768066
150275417566214;1665480592000;48.19897247;-3.01481102;181.89508056640625;0.0;0.0;321.69281005859375;-20.567108154296875;-0.922378659248352;-0.31000497937202454;0.2112767994403839;0.6892647743225098;0.20937198400497437;2.753241539001465;9.727123260498047
